mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
5.7146375974019366,0.002577067765785231,0.8240006764729818,0.17750762772477832,20,log2,3,13,300,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 300}",0.41790901363264754,0.4191580704813218,0.4311048265951639,0.4227239702363777,0.005948058547837819,131,0.5120014045137069,0.4966698786243333,0.4966361626516024,0.5017691485965475,0.0072353106386842635
2.3856098651885986,1.319162929445061,1.234979550043742,1.0319343724664312,20,log2,3,15,100,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 100}",0.4158126622634727,0.4248601772306373,0.43173026395347736,0.42413436781586245,0.006518568880275369,122,0.5071081566633882,0.4997863271452593,0.4944161670897991,0.5004368836328155,0.005201862976642733
2.6435868740081787,0.19479088766919841,3.7535463174184165,0.11707977125198123,20,log2,3,15,200,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 200}",0.41605370467075875,0.4204446303944268,0.43108653546871223,0.4225282901779659,0.00631150954052084,133,0.5067148999613924,0.4942975113605411,0.491703296710267,0.4975719026774002,0.0065512485789219884
3.559810161590576,0.2537619383903358,3.079458554585775,0.08458666244869927,20,log2,3,15,300,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 300}",0.4165483073628462,0.4181393004559528,0.4298620705884997,0.42151655946909955,0.005936805068867788,139,0.5068593193577575,0.49311768658015476,0.48990109988519925,0.49662603527437055,0.007354213524233013
2.6215736071268716,0.7297651124237575,3.4372499783833823,0.5289234322600023,20,log2,4,10,100,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.4113321072032865,0.41513312705096617,0.4213599157563621,0.4159417166702049,0.004133569802929797,147,0.5006610208207318,0.48667329910515944,0.4825939557896938,0.489976091905195,0.007736753837750242
4.697229305903117,0.24665428091682287,1.6887404123942058,0.31530305187610946,20,log2,4,10,200,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.41157208235356446,0.4126679442039767,0.42242517289624404,0.41555506648459506,0.004878456031664973,148,0.5008033223868867,0.4860343913144469,0.4834302293762823,0.49008931435920533,0.007650180427630996
5.652472098668416,0.30553670876822286,1.1443397998809814,0.15001643876480766,20,log2,4,10,300,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.41263709985249486,0.41147119201953997,0.4204366463436048,0.41484831273854655,0.003980112195219615,150,0.5032396469548102,0.48414196634353934,0.4810380616327077,0.48947322497701906,0.009816460212875043
4.8124045530955,0.12819119461882408,1.0335549513498943,0.10851170692616141,20,log2,4,13,100,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 13, 'n_estimators': 100}",0.41184478603655406,0.41255614567395404,0.4297443459521185,0.41804842588754215,0.008275361734335226,145,0.4969040949601342,0.47944889939350943,0.4860311461951754,0.48746138018293966,0.007197459737624863
2.422154982884725,0.46006853489112254,2.9099957942962646,1.640626314920038,20,log2,4,13,200,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 13, 'n_estimators': 200}",0.41020875265304435,0.4093344504357814,0.42518758170294413,0.41491026159725664,0.007275922965867355,149,0.4946083443020628,0.47531940237211945,0.4806828816807024,0.48353687611829493,0.008129156716475919
5.1223658720652265,0.17113418008634884,1.9205818176269531,0.18293269177445245,20,log2,4,13,300,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 13, 'n_estimators': 300}",0.4094173989568066,0.4093183735842425,0.42246783196483106,0.4137345348352934,0.006175505948001131,152,0.4938024999648962,0.47563022411920286,0.4777479513294022,0.4823935584711671,0.008113534028182191
1.8600335915883381,0.8062787110004539,3.3052178223927817,0.5651262217268171,20,log2,4,15,100,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 100}",0.4089761674370169,0.42072671550310814,0.4213718104314358,0.41702489779052027,0.005697401869518729,146,0.4909325038869795,0.4880129673629471,0.47368158192208365,0.48420901772400343,0.0075388373021064
3.9961393674214682,0.26076704322217964,2.330619732538859,0.28234022012634236,20,log2,4,15,200,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 200}",0.4102774459776357,0.41368613418089595,0.42026750666533863,0.4147436956079568,0.004146416546449236,151,0.49051252150365066,0.4793429970349108,0.4727438157861754,0.48086644477491225,0.0073335937293592555
5.363132874170939,0.6655239208303261,1.409483273824056,0.36640499177866115,20,log2,4,15,300,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 300}",0.40982231881463105,0.4111464772321465,0.41873467263106945,0.4132344895592823,0.003926606613523478,153,0.4905678191152273,0.47722865022962124,0.4713241848154026,0.47970688472008377,0.008049248408335425
3.9024692376454673,1.1451361547546288,1.8054146766662598,0.7755069397838926,20,log2,5,10,100,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.40613725267646017,0.4101835307619771,0.41719711831021833,0.41117263391621856,0.004569018913398801,154,0.4879691978987726,0.47297504985775785,0.46686901739288844,0.4759377550498063,0.008865198658667734
5.215876658757527,0.10627259233966742,0.5577362378438314,0.1262705621439183,20,log2,5,10,200,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.40460349594719525,0.4062068981894237,0.41753306233919096,0.4094478188252699,0.005754482119597268,156,0.4852828050997051,0.47008532907785494,0.46707949234260604,0.47414920884005535,0.007967705143239516
